text,all_keyphrases,best_keyphrase,bertscore,all_scores
"kids already can and do use marijuana. the law isn't going to make a major difference here. it is hard to argue that marijuana should be illegal when alcohol and tobacco, both more harmful substances, are legal and widely promoted. and in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does. i'm concerned about the fact that many kids don't understand that marijuana is harmful. not only does it lead to demotivation in some, it now appears that it can permanenty lower the iq of a teenage user by some 9 points. but alcohol also damages the teenage brain. what we need here is education, not prohibition, and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well, but do not.","['Kids use marijuana', 'Marijuana legality ineffective', 'Alcohol and tobacco harm comparison', 'Marijuana arrests cause harm', 'Education over prohibition']",Kids use marijuana,0.8459168672561646,"[0.8459168672561646, 0.8068259954452515, 0.8187062740325928, 0.8293439149856567, 0.8122366070747375]"
"kids of greatly diverse maturity; with wide backgrounds in the proper use of firearms; unsupervised for often the first time; indulging in drink, sex and---shall we say---often less than fully mature social conduct; are allowed to go around with real guns with real bullets. what could possibly go wrong?","['Diverse maturity levels', 'Firearms experience varies', 'Unsupervised youth', 'Risky behaviors engaged in', 'Real guns, real bullets']","Real guns, real bullets",0.8358950614929199,"[0.8203615546226501, 0.8026407957077026, 0.8230465054512024, 0.7882280945777893, 0.8358950614929199]"
"knowing that a combination of 33 pesticides are sprayed on the average apple makes me feel ill. an apple a day will keep the doc away from eating the apple! the dirty dozen list needs to be more publicized. i would rather spend more for the imperfect but pesticide free apple. the question is ""how much pesticide can the human body take before the immune system is overtaxed and cancer cells are no longer eliminated from the body? our bodies are not meant to filter out such chemicals.","['Pesticide-laden apples', 'Dirty dozen list', 'Pesticide-free apples', 'Immune system overload', 'Pesticide effects on health']",Pesticide-free apples,0.8417770862579346,"[0.8379470705986023, 0.8257941603660583, 0.8417770862579346, 0.7935563921928406, 0.8131215572357178]"
"knowledge and science should trump religion . circumcision practices for boys and girls are primitive and backward rituals intended to establish a clear distinction between them and societies they don't recognize or despise. circumcision for boys amongst the jews and muslims should be performed by physicians not rabbis or imams or whoever else performs them. i witnessed a circumcision, i find it barbaric and cruel to a baby. i am a jew and will not circumcise any boy. the only time it is acceptable would be for health or hygiene. circumcision for girls is intended to be punitive and damaging , it is an abomination. religious freedom stops when it starts to affect and interfere with the greater good of society. freedom of religion is synonymous with anything goes whether you like it or not, even if it's harmful to you. sorry!","['Science over religion', 'Circumcision: primitive ritual', 'Medical circumcision only', 'Female circumcision: abomination', 'Religious freedom limits']",Science over religion,0.8323472738265991,"[0.8323472738265991, 0.8000311255455017, 0.8061069846153259, 0.8284170627593994, 0.8084086775779724]"
"lol - i love the fact that even though the nytimes clearly weighted the debate in favor of pageant supporters, the idea that a beauty pageant is somehow a great thing for women is getting completely slammed in the comments. men are considered to have too much individual dignity and worth to be judged on something as shallow as what they look like in a bathing suit. that's why beauty pageants are only for women. we all know why some people support beauty pageants - because there's money to be made from exhibiting the bodies of little girls and young women, thanks to trashy parents. just ask honey boo boo.","['NYTimes debate on beauty pageants', 'Pageant comments are negative', 'Pageants demean women', 'Pageants exploit girls', 'Money motivates pageant supporters']",NYTimes debate on beauty pageants,0.8475876450538635,"[0.8475876450538635, 0.8036035895347595, 0.8215997219085693, 0.8115992546081543, 0.8276746273040771]"
"last year, the federal reserve bank of new york reported that 44% of recent college graduates were employed in jobs that don't require college degrees. and about 35% of older college graduates work in jobs that don't require college degrees. about 66 percent of two-year college graduates do the same sort of work as high school graduates or high school drop outs. they are in competition not just with illegal immigrants but the u.s.-born children of illegal immigrants, most of whom enjoy racial or ethnic affirmative action preference in college admissions and federal hiring.","['Underemployment of college graduates', 'Job mismatch for graduates', 'High school equivalent jobs for grads', 'Competition with immigrant workers', 'Affirmative action in college admissions']",Affirmative action in college admissions,0.834022581577301,"[0.8269344568252563, 0.8196303248405457, 0.8285400867462158, 0.8161308169364929, 0.834022581577301]"
"laurie mazur talks of women's rights being the key to population, a mantra embedded in the rio declaration of 1992. but this approach, which came to dominate the population field, has not lead to a significant reduction in fertility in many of the most overpopulated countries. unfortunately, the well meaning leaders of the women's reproductive rights movement have not yet confronted the rights of the future generations of this planet that resources will not, and already cannot sustain. are they to be doomed to a grim life of chaotic climate, food and water shortages and no jobs? what is clear is that the world is not sustaining the thousands of refugees drowning in the andaman sea and mediterranean ocean escaping an unsustainable existence.","[""Women's rights and population"", 'Rio Declaration 1992', 'Fertility reduction', 'Rights of future generations', 'Unsustainable existence']",Women's rights and population,0.8320277333259583,"[0.8320277333259583, 0.8280333876609802, 0.808965265750885, 0.8249939680099487, 0.7925775647163391]"
"legal immigration is not the issue. illegal immigration is the issue. arguing that legal immigration and illegal immigration together sometimes produce positive results is irrational. we can have legal immigration without illegal immigration. the truth is that students whose families immigrate legally from europe, asia and africa-but not latin america-to the united states are more likely to graduate from high school than native-born students while students whose families immigrate illegally are far more likely to drop out than native-born students.","['illegal immigration is the issue', 'legal immigration vs. illegal immigration', 'positive results from immigration', 'legal immigration without illegal immigration', 'illegal immigration and high school dropout rates']",illegal immigration is the issue,0.8676242232322693,"[0.8676242232322693, 0.8648750185966492, 0.8367538452148438, 0.8544182777404785, 0.8470386862754822]"
"legal or illegal, prostitution will continue. this is evident around the world. sex is a basic inherent need and prostitution will not go away regardless of the criminal penalties. the only rational approach is to bring it above ground, gain transparency, and enforce safety regulations. these things happen only with legalized prostitution. new zealand is today a great example of legalized prostitution where workers are well-treated and safe.","['Prostitution will continue', 'Global prevalence of prostitution', 'Sex as basic need', 'Legalization for safety', 'New Zealand model']",Global prevalence of prostitution,0.8405462503433228,"[0.8274176716804504, 0.8405462503433228, 0.8350884318351746, 0.8214924335479736, 0.801978349685669]"
"legalising prostitution is only the beginning of a long process of emancipation. succesful emancipation can not develop without legal acces to legally regulated prostitution; but very important is a process of cultural acceptance. as long as prostitution is looked down upon, full emancipation will remain impossible. but breaking down the illegality of prostituion is a vital pre -condition. i know the legalisation effects (of prostitution) in the netherlands rather well, and believe me, after legalisation the complex problems related to low social status of the profession are not over. legal regulation is, as i said, only a beginning.","['legalising prostitution', 'emancipation process', 'cultural acceptance', 'legal regulation', 'low social status']",legalising prostitution,0.8483704328536987,"[0.8483704328536987, 0.7991300225257874, 0.8157342076301575, 0.8202114701271057, 0.8286942839622498]"
"legalization is just too dangerous, says ms. evins. has she studied the rat park experiments? conducted over 20 years in a prestigious lab, then published as peer-reviewed journal studies, they establish that addiction is almost impossible to induce when the subjects are living in healthy environments. oh, one detail: the subjects were rats...which correlate to humans 80% of the time in lab study results. so there's an 80% chance that human addiction results not from the substance but from deprived, abusive environments. there is a place she could put her efforts productively, instead of fighting a losing battle against a public jaded by decades of lies.","['legalization is dangerous', 'rat park experiments', 'addiction and environment', '80% human-rat correlation', 'deprived environments cause addiction']",legalization is dangerous,0.8544366359710693,"[0.8544366359710693, 0.8356928825378418, 0.7970989346504211, 0.802422821521759, 0.839799702167511]"
"legalizing prostitution and cracking down on trafficking are not mutually exclusive. the increased traffic in amsterdam comes from the fact that it is just one such city and attracts men from all over. if prostitution was legal in every country in europe this would not happen. does prostitution dehumanize women? absolutely. but until we get rid of it, legalization does, in theory, offer protections that doesn't currently exist.","['Legalizing prostitution', 'Cracking down on trafficking', ""Amsterdam's increased sex traffic"", 'Prostitution dehumanizes women', 'Legalization offers protections']",Prostitution dehumanizes women,0.8461499810218811,"[0.8267567753791809, 0.84306401014328, 0.8301518559455872, 0.8461499810218811, 0.8179057240486145]"
"len penzo writes, 'why would any server go out of his way to give excellent service when he knows he'll be getting the same pay regardless of whether he busts his hump or takes it relatively easy by doing just enough to meet the minimum standards?' this, to me, is the weakest argument in the weakest entry among the six writers who have commented in this room for debate topic. if tips were abolished, it's true that individual servers could just do the bare minimum, or they could give excellent service. that would simply bring waiters in line with many other service occupations that don't depend on tipping - coworkers know who among their coworkers are slackers, and who are great to work with.abolishing tipping would give managers more leeway to give raises to better workers.","['server motivation', 'tip abolition', 'minimum service standards', 'managerial raises', 'peer evaluation']",managerial raises,0.8182842135429382,"[0.7995194792747498, 0.8036866784095764, 0.8162361979484558, 0.8182842135429382, 0.8006671667098999]"
"lentils, whole beans, millets are great sources of b vitamins, their bioavailability increases if they are soaked overnight. millets can even be sprouted then pound into a flour, they are gluten free. some millets contain high amounts of calcium as well. quinoa is another rich source of nutrition all around. as far as brain food is concerned, dairy and dairy products make up for lack of meat protein. however for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. being flexible is a great thing, being too strict or restrictive doesn't help anyone. moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. life is colorful not black and white so why limit food?","['B vitamins in legumes', 'Soaking increases bioavailability', 'Gluten-free millet flour', 'Quinoa nutrition', 'Dairy vs. meat protein']",Gluten-free millet flour,0.8440755009651184,"[0.8246887922286987, 0.8281660079956055, 0.8440755009651184, 0.8288241624832153, 0.841238260269165]"
"less regulation might be feasible if we had effective means for using civil law to receive just compensation for the harm that is caused by faulty products. unfortunately, conservative judges and law makers dedicated to protecting their business patrons have succeeded in emasculating our ability to use civil law for relief. recent nyt articles have revealed how business has been using arbitration to avoid be sued. wise law makers and judges work to protect the public from harm, but it seems that wisdom is lacking in far too many current law makers and judges. greed is winning!","['Less regulation, effective civil law', 'Just compensation, faulty products', 'Conservative judges, business protection', 'Arbitration, avoid lawsuits', 'Greed winning, lacking wisdom']","Less regulation, effective civil law",0.8509045243263245,"[0.8509045243263245, 0.8485901951789856, 0.8381761312484741, 0.8252710700035095, 0.8190637230873108]"
let me understand this. now that my kids are out of the public school system i should not have to pay the 80% of my property tax that goes to support my local schools? or do i get a credit for supporting services that i do not use? has this been thought out sufficiently? it seems that there is an equal protection problem here.,"['Property tax reduction', 'School funding', 'Public school support', 'Equal protection', 'Tax credit for unused services']",Tax credit for unused services,0.8467569351196289,"[0.8227704167366028, 0.8084726333618164, 0.8312197327613831, 0.8307302594184875, 0.8467569351196289]"
let's face it. this whole issue is based on white supremacy. it is an attempt for the republican party to stay in power by courting the white vote for a few more election cycles. it is an attempt for the white ruling class to maintain its dwindling majority for another decade or so. this is the new face of the confederate battle flag.,"['white supremacy', 'Republican party power', 'white vote', 'white ruling class', 'Confederate battle flag']",white ruling class,0.8398728966712952,"[0.8310686349868774, 0.8199184536933899, 0.8030833005905151, 0.8398728966712952, 0.8243407607078552]"
"let's not forget that amy chua is a professor at yale and that she can point that out to her children if they ever question her methods having the street cred when it comes to imparting such strict discipline is pretty useful. compare that to the run of the mill parent trying to be strict. generally,there will be rebellion.","['Amy Chua Yale professor', 'Strict discipline methods', 'Street cred', 'Parental discipline', 'Rebellion vs. strictness']",Rebellion vs. strictness,0.8413593173027039,"[0.8260607719421387, 0.8395625352859497, 0.8116848468780518, 0.8085704445838928, 0.8413593173027039]"
let's put this question the way it really affects public education: should the government subsidize the destruction of public education and simultaneously give financial aid to bolster organized ignorance (most home-schoolers are home in order to avoid being taught evolution)?,"['Government subsidy of education destruction', 'Financial aid for homeschooling', 'Homeschooling to avoid evolution', 'Organized ignorance', 'Public education funding']",Government subsidy of education destruction,0.8606032729148865,"[0.8606032729148865, 0.8446754813194275, 0.8481826782226562, 0.8306919932365417, 0.8402212858200073]"
"let's see: a politician; his state stands to benefit directly; he's in the very opposition party; the issue is oil/environment/regulation/prices/national-security/trade-deficit and he's a 21st century republican; he's talking about long-term and fossil fuels - not to be taken seriously. and just to be clear, mr. rep., it is republicans who every time the oil price rises, fan the flames of armageddon, including national security (sic) and the trade deficit, to support more drilling, despite evidence each time from the studies republicans commission that drilling here can not affect any of these significantly. the low hanging fruit in lowering demand, however, can have a greater effect sooner and not hurt but rather help the economy, except for the oil industry and their lackeys, and benefit in many ways that republicans don't care about (health, environment, technological edge).","['Politician benefits from oil issue', 'Opposition party stance', 'Oil/environment regulation debate', ""Republicans' oil drilling stance"", 'Long-term fossil fuel strategy']",Long-term fossil fuel strategy,0.8422422409057617,"[0.8138653039932251, 0.7995308637619019, 0.8119754791259766, 0.8109908103942871, 0.8422422409057617]"
"liberal arts only distract the mind from more important tasks at hand, like jobs and productivity. in past we required lofty distractions such as art and french. but after decades now of forced schooling where children have 16 years of practice doing standardized routine work on fixed schedules under authoritative disciplined systems, our workforce is now ready to dispense with these liberal niceties. the work force is now ready to just work. sleep, wake, eat processed foods devoid of flavor, work, eat work, sleep....","['Liberal arts distractions', 'Focus on jobs', 'Productivity over art', 'Forced schooling', 'Routine workforce']",Liberal arts distractions,0.8348085880279541,"[0.8348085880279541, 0.8079145550727844, 0.8142154812812805, 0.8276733160018921, 0.8163485527038574]"
"lift the embargo? what for? the castro brothers and their sycophants are deeply entrenched and are not going anywhere, with or without an embargo. lifting the embargo will just make them even...wealthier than they already are. those two despicable hypocrites call themselves communists and are living in luxury while most on the island struggle everyday to survive. and don't kid yourselves, they have ruled with an iron fist for 54 years and have executed thousands, and thousands of people without batting an eyelash in order to stay in power. many, many more have perished in the high seas trying to escape. many lives lost, families destroyed, misery, poverty, hunger, and for what? what kind of a revolution was that?","['Castro brothers entrenched', 'Embargo will enrich regime', 'Hypocritical communist luxury', 'Iron fist rule, executions', 'Many lives lost escaping']",Embargo will enrich regime,0.8284229636192322,"[0.815466046333313, 0.8284229636192322, 0.7802209854125977, 0.7961064577102661, 0.822124183177948]"
"like mitt romney, she has no regard for the american lower class and is ignorant of those unlike her. newflash: lots of americans do not graduate college, or even high school and could do the manual labor commonly done by immigrants. watch any kitchen, landscaping, roofing, tree trimming, nonunion construction or day labor crew and see if you can spot anyone who is not an illegal immigrant other than the boss who is enjoying paying them below minimum wage, with no benefits, under the table.","['Mitt Romney comparison', 'Disregard for lower class', 'Ignorance of different lifestyles', 'Manual labor and immigrants', 'Exploitation of undocumented workers']",Manual labor and immigrants,0.8233729004859924,"[0.8058858513832092, 0.8124421238899231, 0.8023070693016052, 0.8233729004859924, 0.8005400896072388]"
"like most people my age, i was taught to write in cursive, and like most people today, i don't use it much. but i don't understand how anyone can have a distinctive signature (e.g., for writing checks, signing contracts) without cursive. even many of the documents, such as invoices, that i send by e-mail, require a scanned signature. what will replace signatures?","['Cursive handwriting decline', 'Signature necessity', 'Digital signature replacement', 'Scanned signature use', 'E-signature alternatives']",Digital signature replacement,0.8247696161270142,"[0.8199182152748108, 0.8086769580841064, 0.8247696161270142, 0.8100207448005676, 0.8223384022712708]"
"like several other commenters, i chuckled at the notion that in successful and ethical corporations, ""employees receive a living wage, as well as increased pay and career advancement when their superiors feel that they've earned it."" i would be interested in a list of these successful and ethical corporations. for example, wal-mart is certainly successful by any measure, but is it ethical to pay wages so low that many employees qualify for medicaid or their children qualify for reduced cost or free school lunches? in how many other successful corporations do taxpayers provide heavy subsidies to those who are not provided a living wage or benefits like health insurance? so, until such time as food service employers provide a living wage and reasonable health insurance, i will tip my servers as generously as i can. consider that my protest against mr. shaw's ""capitalist"" system, where ""the man"" controls how much servers get paid.","['living wage', 'ethical corporations', 'low wages', 'taxpayer subsidies', 'protest capitalist system']",protest capitalist system,0.821485698223114,"[0.8108959794044495, 0.8086850047111511, 0.8104192018508911, 0.8173481822013855, 0.821485698223114]"
"like you, i also was a french major and have used french my whole life. my kids are in the french system and thank god they are. here, political correctness is not a way of life as it is in the us; there's a place for all people even if they're not minorities. studying voltaire will help one not be enslaved to religion as is now the case in the us as well as in many countries around the world.","['French language fluency', 'French education system', 'Political correctness', ""Voltaire's influence"", 'Religious freedom']",Political correctness,0.8264437913894653,"[0.8070223927497864, 0.8122625350952148, 0.8264437913894653, 0.815328061580658, 0.8012147545814514]"
"local schools are financed almost exclusively without federal tax dollars. therefore it does not make sense to offer a tax credit for home schooling from federal income taxes. if individual states or local governments want to offer tax credits or other incentives for home schooling, that would be appropriate, since it is mostly from state income or local property taxes that most schools are funded. in my opinion, though, they shouldn't. if you offer tax credits to home schooling parents, surely you will also want to offer tax credits to parents of private school students, and families with no school age children too, for that matter. by the time you are done, you don't have tax credits any more, you essentially have an additional tax paid only by families with children enrolled in public schools. why not just get rid of public schools all together and only have private schooling?","['Federal funding of schools', 'Tax credits for homeschooling', 'State/local tax incentives', 'Tax credits for private schools', 'Eliminating public schools']",Tax credits for private schools,0.8367511630058289,"[0.8246090412139893, 0.8253021836280823, 0.8154205083847046, 0.8367511630058289, 0.8080217838287354]"
look at the human species not other animal species. it's not vegies and whole foods that make a major portion of western diet eaters overweightt and obese. it's not vegies that puts a major portion of the us population on statins to reduce bad cholesterol. it's not vegies that are helping to raise medical costs to astronomical heights.perhaps a major portion of the problem lies in the high animal fat western diet.,"['human species', 'western diet', 'overweight and obese', 'high animal fat', 'medical costs']",overweight and obese,0.8306465148925781,"[0.8014675378799438, 0.8216867446899414, 0.8306465148925781, 0.8269413709640503, 0.8107865452766418]"
"look at the record snowfall in boston and its economic consequences. look at the record cold coming up in raleigh. look at the devastating consequences of the drought in california. look at what is happening in sao paulo in brazil. we must get off fossil fuels and we must do it as soon as we can. drilling for oil off the coast is not the answer. more solar, wind and conservation are the answer. we need to wake up before it is too late for the future of this planet. our kids are counting on us to do the right thing.","['Record snowfall economic consequences', 'Record cold Raleigh', 'Devastating California drought', 'Sao Paulo crisis', 'Fossil fuel transition']",Record snowfall economic consequences,0.8335042595863342,"[0.8335042595863342, 0.824694037437439, 0.815388023853302, 0.7995220422744751, 0.7918897271156311]"
